"accuracy"; "algorithm"
0.974485910129474; "LEM2"
0.966869763899467; "LEM2"
0.969904761904762; "LEM2"
0.968012185833968; "LEM2"
0.967619047619048; "LEM2"
0.967250571210967; "LEM2"
0.969142857142857; "LEM2"
0.972581873571973; "LEM2"
0.963047619047619; "LEM2"
0.965727341964966; "LEM2"
0.960776846915461; "CN2"
0.962680883472963; "CN2"
0.965333333333333; "CN2"
0.961538461538462; "CN2"
0.959238095238095; "CN2"
0.963442498095963; "CN2"
0.961904761904762; "CN2"
0.967631378522468; "CN2"
0.964190476190476; "CN2"
0.959253617669459; "CN2"
0.966869763899467; "AQ"
0.962300076161462; "AQ"
0.96647619047619; "AQ"
0.965727341964966; "AQ"
0.967619047619048; "AQ"
0.962300076161462; "AQ"
0.970666666666667; "AQ"
0.973343488194973; "AQ"
0.964952380952381; "AQ"
0.963061690784463; "AQ"
