"LOGGING";"DEPOSITING";"WITHDRAWING";"BALANCE_INQUIRY";"ADMIN_CONTROL";"USER_INTERFACE";"WITHDRAWING_ALL_VALUES";"test"
FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"OK"
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"KO"
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"KO"
TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"KO"
FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"KO"
TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"KO"
FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"KO"
TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"KO"
FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"KO"
TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"KO"
FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;"KO"
TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;"KO"
FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;"KO"
TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;"KO"
FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"KO"
TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;"KO"
FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"KO"
TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"KO"
FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;"KO"
TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;"KO"
FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;"KO"
TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;"KO"
FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"KO"
TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"KO"
FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"KO"
TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;"KO"
FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;"KO"
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;"KO"
FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;"KO"
TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;"KO"
FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;"KO"
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;"KO"
FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"KO"
TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;"KO"
FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;"KO"
TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;"KO"
FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;"KO"
TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;"KO"
FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;"KO"
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;"KO"
FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;"KO"
TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;"KO"
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;"KO"
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;"KO"
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;"KO"
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;"KO"
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;"KO"
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;"KO"
FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"KO"
TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;"KO"
FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"KO"
TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"KO"
FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"KO"
TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"KO"
FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"KO"
TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;"KO"
FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"KO"
TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"KO"
FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;"KO"
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;"KO"
FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;"KO"
TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;"KO"
FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;"KO"
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;"KO"
FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"KO"
TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;"KO"
FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;"KO"
TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;"KO"
FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;"KO"
TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;"KO"
FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"KO"
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"KO"
FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"KO"
TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;"KO"
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;"KO"
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;"KO"
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;"KO"
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;"KO"
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"KO"
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"KO"
